age_group,season,hour,n,mean,median,std,type
"[20,80]",winter,0,3088,0.514057487862214,0.524761289358139,0.255771817829971,both
"[20,80]",winter,1,2857,0.498046440219374,0.513450264930725,0.258285486975013,both
"[20,80]",winter,2,2189,0.468233533259762,0.467754453420639,0.25920072283755,both
"[20,80]",winter,3,1234,0.445612000938463,0.437584072351456,0.257772847109649,both
"[20,80]",winter,4,375,0.440781021545331,0.429723501205444,0.262287176802233,both
"[20,80]",winter,5,46,0.493375070231116,0.521541386842728,0.239862887671363,both
"[20,80]",winter,6,9,0.598922699689865,0.613863289356232,0.0821556154321167,both
"[20,80]",winter,7,4,0.58696361631155,0.623422354459763,0.221028666849013,both
"[20,80]",winter,18,69,0.423351110755533,0.352120250463486,0.265401966134984,both
"[20,80]",winter,19,4042,0.502580922872993,0.5,0.258711388117877,both
"[20,80]",winter,20,10533,0.486918830623229,0.477425754070282,0.260808758233023,both
"[20,80]",winter,21,9242,0.519285003547237,0.517429322004318,0.266547931120702,both
"[20,80]",winter,22,3120,0.553630750521253,0.576099127531052,0.266307899888679,both
"[20,80]",winter,23,2412,0.52984575252319,0.546085834503174,0.257083040585439,both
