age_group,season,hour,n,mean,median,std,type
"[20,80]",summer,20,244,0.463581184444369,0.448096260428429,0.25969446151046,female
"[20,80]",summer,21,225,0.497616807123025,0.474999994039536,0.252778689376691,female
"[20,80]",summer,22,72,0.540119947037763,0.567175269126892,0.245629760950932,female
"[20,80]",summer,23,73,0.539300820598864,0.546762585639954,0.246562143873489,female
"[20,80]",winter,0,117,0.576218350193439,0.576923072338104,0.291380060266627,female
"[20,80]",winter,1,117,0.541330018996174,0.524590134620667,0.255002714846615,female
"[20,80]",winter,2,152,0.51439012464528,0.489999994635582,0.265064048673179,female
"[20,80]",winter,3,109,0.562611732119267,0.611510813236237,0.289269459306016,female
"[20,80]",winter,4,37,0.400865011924022,0.291666656732559,0.279064515766975,female
"[20,80]",winter,5,1,0.336538463830948,0.336538463830948,,female
"[20,80]",winter,6,1,0.123966939747334,0.123966939747334,,female
"[20,80]",winter,19,77,0.493674571928266,0.487179487943649,0.23103957977945,female
"[20,80]",winter,20,261,0.482836737622189,0.5,0.260604341126227,female
"[20,80]",winter,21,239,0.557153180553325,0.571428596973419,0.273015798443103,female
"[20,80]",winter,22,89,0.507228941729899,0.509316742420197,0.261267880769165,female
"[20,80]",winter,23,72,0.446091973688453,0.435013264417648,0.258981742339428,female
"[20,80]",fall,0,120,0.537646128050983,0.544841289520264,0.249311550277202,both
"[20,80]",fall,1,138,0.517169692297129,0.510204076766968,0.267278883950196,both
"[20,80]",fall,2,174,0.511320066028114,0.495762705802918,0.260617227601541,both
"[20,80]",fall,3,122,0.534881140120694,0.498091608285904,0.234630603528177,both
"[20,80]",fall,4,20,0.571572939306498,0.592971801757813,0.222675773964035,both
"[20,80]",fall,5,3,0.675473709901174,0.645962715148926,0.203468599351008,both
"[20,80]",fall,19,181,0.46449600929878,0.463768124580383,0.239831671305773,both
"[20,80]",fall,20,401,0.520073036999997,0.527777791023254,0.25527802751114,both
"[20,80]",fall,21,350,0.515336635006326,0.541984736919403,0.259287567001189,both
"[20,80]",fall,22,132,0.4801278697101,0.443434342741966,0.26752599698359,both
"[20,80]",fall,23,128,0.558632675791159,0.576358914375305,0.230964352234367,both
"[20,80]",spring,0,148,0.569790711626411,0.598013639450073,0.261502575025181,both
"[20,80]",spring,1,186,0.56904488161046,0.605897009372711,0.223658140443569,both
"[20,80]",spring,2,220,0.552586950023066,0.557575762271881,0.259380496896841,both
"[20,80]",spring,3,156,0.496082506548518,0.450815290212631,0.28530121541695,both
"[20,80]",spring,4,63,0.687255033188396,0.649999976158142,0.262333026456359,both
