age_group,month,n,mean,median,std,type
"[20,80]",1,39964,0.465022473630806,0.461383491754532,0.270103700774388,male
"[20,80]",2,36730,0.458560171592732,0.452797204256058,0.267353610917051,male
"[20,80]",3,38630,0.449699259715344,0.440221697092056,0.265138883117078,male
"[20,80]",4,36150,0.434558193127562,0.421347871422768,0.263080891503471,male
"[20,80]",5,39593,0.408036691009096,0.377749025821686,0.258820314797048,male
"[20,80]",6,39872,0.392216447888648,0.356413155794144,0.256281258615214,male
"[20,80]",7,40230,0.372955692347844,0.335124582052231,0.251618216092015,male
"[20,80]",8,38902,0.370852549110962,0.3331398665905,0.249397370845746,male
"[20,80]",9,34707,0.378970670837398,0.344247788190842,0.254333712580208,male
"[20,80]",10,37822,0.39160762281323,0.35971999168396,0.257759622163723,male
"[20,80]",11,41163,0.414377322270654,0.382923662662506,0.262993676157689,male
"[20,80]",12,40783,0.451355356213461,0.444000899791718,0.268400928185721,male
"[20,80]",1,107488,0.473343212657842,0.456425398588181,0.270080043422516,female
"[20,80]",2,99332,0.471578492606556,0.455783069133759,0.267760013530418,female
"[20,80]",3,104986,0.467098324778581,0.450678169727325,0.266536010574945,female
"[20,80]",4,100266,0.447018813382428,0.430015414953232,0.264900964216421,female
"[20,80]",5,112837,0.427481888285848,0.410693436861038,0.262491387839635,female
"[20,80]",6,114059,0.407600364811593,0.384696453809738,0.260056419918824,female
"[20,80]",7,116373,0.38931708368916,0.359597772359848,0.256092259915345,female
"[20,80]",8,112386,0.380805836049607,0.354104250669479,0.254647437465156,female
"[20,80]",9,101560,0.383800849478689,0.356735229492188,0.255884205427576,female
"[20,80]",10,112589,0.393713474374681,0.364826053380966,0.258443995256383,female
"[20,80]",11,117619,0.415926059098287,0.395225465297699,0.263811241916255,female
"[20,80]",12,112429,0.451694900161867,0.437806069850922,0.269267184399909,female
"[20,80]",1,147452,0.471100203193562,0.458382338285446,0.270073714644036,both
"[20,80]",2,136057,0.468011750652568,0.453904569149017,0.267650373968593,both
"[20,80]",3,143616,0.462219262478543,0.449190944433212,0.266173372578862,both
"[20,80]",4,136426,0.44377557717496,0.427859574556351,0.264452324075053,both
"[20,80]",5,152431,0.42240475881819,0.404855519533157,0.261584637965278,both
"[20,80]",6,153854,0.403523896642429,0.378112345933914,0.258986573156217,both
"[20,80]",7,156583,0.384989550334507,0.355733662843704,0.254930661854012,both
"[20,80]",8,151297,0.378253142099363,0.349380373954773,0.253320038830472,both
"[20,80]",9,136275,0.382460913168285,0.355662643909454,0.255467633078314,both
"[20,80]",10,150436,0.393250977468795,0.362479239702225,0.258319718531403,both
"[20,80]",11,158765,0.415536139676137,0.394126743078232,0.263562058802889,both
"[20,80]",12,153222,0.451625822118432,0.437997579574585,0.269025820978097,both
