age_group,month,n,mean,median,std,type
"[20,80]",1,40,0.517808242980391,0.564285725355148,0.273019559859855,male
"[20,80]",2,29,0.609860961036436,0.639344274997711,0.290193371411995,male
"[20,80]",3,36,0.464011879120436,0.450980395078659,0.278850533552201,male
"[20,80]",4,39,0.486697913075869,0.475409835577011,0.287249560108983,male
"[20,80]",5,40,0.464203145727515,0.387820512056351,0.265264712443546,male
"[20,80]",6,31,0.518028187415292,0.576923072338104,0.259513508874803,male
"[20,80]",7,51,0.504126313927711,0.432835817337036,0.28466945711593,male
"[20,80]",8,31,0.499805900118043,0.477272719144821,0.26669495437893,male
"[20,80]",9,27,0.550116298927201,0.590163946151733,0.258659466626803,male
"[20,80]",10,33,0.461543475475275,0.411764711141586,0.25318577546649,male
"[20,80]",11,43,0.451613830359176,0.444444447755814,0.298054377196413,male
"[20,80]",12,37,0.516065567329123,0.514285743236542,0.314569480484452,male
"[20,80]",1,106,0.53739033407479,0.523268401622772,0.301633581137582,female
"[20,80]",2,86,0.567635392055435,0.614853024482727,0.273090044103272,female
"[20,80]",3,61,0.498655234570386,0.476190477609634,0.275842892476868,female
"[20,80]",4,75,0.511635687549909,0.532110095024109,0.283146305945896,female
"[20,80]",5,80,0.495594320329838,0.483733057975769,0.296465719463816,female
"[20,80]",6,83,0.547886810209378,0.600000023841858,0.270292930225131,female
"[20,80]",7,99,0.450897372440633,0.413793116807938,0.279700772904353,female
"[20,80]",8,71,0.524133142529869,0.560509562492371,0.293551370485361,female
"[20,80]",9,66,0.509679719756329,0.546715587377548,0.291069895249209,female
"[20,80]",10,82,0.521866276519509,0.497658163309097,0.258660261455315,female
"[20,80]",11,88,0.501675671305169,0.515089839696884,0.269007784488034,female
"[20,80]",12,108,0.556017581097506,0.585311233997345,0.29467751840052,female
"[20,80]",1,148,0.531380247010069,0.527005434036255,0.296134127515944,both
"[20,80]",2,116,0.582039597829611,0.62531328201294,0.27814268624822,both
"[20,80]",3,99,0.485783267484018,0.471153855323792,0.281105312669683,both
"[20,80]",4,113,0.499023717457214,0.489795923233032,0.280985913413886,both
"[20,80]",5,119,0.489209537996965,0.479999989271164,0.283284861449384,both
"[20,80]",6,114,0.539156443913255,0.593103468418121,0.265633315376545,both
"[20,80]",7,150,0.468917146114012,0.429532662034035,0.281426924745542,both
"[20,80]",8,101,0.512760713253871,0.528571426868439,0.281136665199907,both
"[20,80]",9,95,0.531494753420549,0.561538457870483,0.286694258288887,both
"[20,80]",10,115,0.50443012777554,0.477611929178238,0.257221532182138,both
"[20,80]",11,130,0.489030743365248,0.485772356390953,0.276398294796221,both
"[20,80]",12,147,0.545263000364814,0.584415555000305,0.302544126403544,both
