age_group,month,n,mean,median,std,type
"[20,80]",1,685,0.519752200977047,0.553191483020783,0.287263891166526,male
"[20,80]",2,561,0.509466029330922,0.514285743236542,0.281413193655287,male
"[20,80]",3,605,0.501088811619561,0.50943398475647,0.286679989557499,male
"[20,80]",4,537,0.462675825908634,0.445714294910431,0.28259578671772,male
"[20,80]",5,629,0.489183564612639,0.491525411605835,0.284334463252183,male
"[20,80]",6,597,0.472870608205147,0.482014387845993,0.272374922072852,male
"[20,80]",7,690,0.492496117512169,0.519109070301056,0.291602181359837,male
"[20,80]",8,600,0.464203595089105,0.461747497320175,0.286415241106102,male
"[20,80]",9,530,0.515937419288423,0.526924669742584,0.278717480997256,male
"[20,80]",10,573,0.509696447589544,0.508571445941925,0.28875749891077,male
"[20,80]",11,638,0.497355416332456,0.481837317347527,0.278276671457462,male
"[20,80]",12,589,0.534368329937609,0.570422530174255,0.272377122010376,male
"[20,80]",1,1198,0.504220094669374,0.518580824136734,0.281521676323611,female
"[20,80]",2,1042,0.502169098133926,0.514335364103317,0.277442178310554,female
"[20,80]",3,1083,0.503123893041339,0.512953341007233,0.282357482976326,female
"[20,80]",4,1077,0.490027532608403,0.497807025909424,0.273898853690191,female
"[20,80]",5,1222,0.49195736293024,0.5,0.27939806376734,female
"[20,80]",6,1226,0.491348689138665,0.489157244563103,0.2747726723261,female
"[20,80]",7,1312,0.500649682072235,0.492470562458038,0.276412901945678,female
"[20,80]",8,1133,0.48994961547413,0.492239475250244,0.280171790559371,female
"[20,80]",9,1096,0.493438953014998,0.5,0.272021524373832,female
"[20,80]",10,1128,0.492428676437848,0.507686078548431,0.274761625880824,female
"[20,80]",11,1213,0.497953508341008,0.507204592227936,0.284683029168252,female
"[20,80]",12,1252,0.512182034677067,0.515857994556427,0.283584377593125,female
"[20,80]",1,1869,0.509959840940271,0.529761910438538,0.281365560467354,both
"[20,80]",2,1596,0.506320079687322,0.515018314123154,0.277367765437041,both
"[20,80]",3,1682,0.504205834443319,0.514071494340897,0.282709025528524,both
"[20,80]",4,1608,0.482734699838966,0.4765694886446,0.275963611642263,both
"[20,80]",5,1846,0.492912815939252,0.5,0.28018504924331,both
"[20,80]",6,1818,0.487188630934592,0.487356558442116,0.273245389168454,both
"[20,80]",7,1994,0.499848824628903,0.4982730448246,0.280462982735087,both
"[20,80]",8,1728,0.48301896323742,0.482443511486054,0.281733855631249,both
"[20,80]",9,1628,0.500755709600269,0.503366559743881,0.274689444801212,both
"[20,80]",10,1689,0.498237180365183,0.507853388786316,0.277385253471664,both
"[20,80]",11,1852,0.498014493773995,0.495846584439278,0.282573810237326,both
"[20,80]",12,1835,0.517705832718686,0.536231875419617,0.279262066786659,both
